id,monitored_flight_id,flight_number,carrier_iata,carrier_name,departure_time,arrival_time,duration_minutes,stops,price,risk_score,risk_tier,offer_data,selection_token,created_at
1,1,F94731,F9,Frontier,2026-05-18 13:00,2026-05-18 23:09,609,1,$406,7,green,"{""type"": ""One way"", ""price"": 406, ""flights"": [{""airline"": ""Frontier"", ""legroom"": ""28 in"", ""airplane"": ""Airbus A321neo"", ""duration"": 170, ""extensions"": [""Below average legroom (28 in)"", ""Carbon emissions estimate: 87 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/F9.png"", ""travel_class"": ""Economy"", ""flight_number"": ""F9 4731"", ""arrival_airport"": {""id"": ""ATL"", ""name"": ""Hartsfield-Jackson Atlanta International Airport"", ""time"": ""2026-05-18 15:50""}, ""departure_airport"": {""id"": ""JFK"", ""name"": ""John F. Kennedy International Airport"", ""time"": ""2026-05-18 13:00""}}, {""airline"": ""Frontier"", ""legroom"": ""28 in"", ""airplane"": ""Airbus A321neo"", ""duration"": 113, ""extensions"": [""Below average legroom (28 in)"", ""Carbon emissions estimate: 69 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/F9.png"", ""travel_class"": ""Economy"", ""flight_number"": ""F9 3692"", ""arrival_airport"": {""id"": ""IAD"", ""name"": ""Dulles International Airport"", ""time"": ""2026-05-18 23:09""}, ""departure_airport"": {""id"": ""ATL"", ""name"": ""Hartsfield-Jackson Atlanta International Airport"", ""time"": ""2026-05-18 21:16""}, ""often_delayed_by_over_30_min"": true}], ""layovers"": [{""id"": ""ATL"", ""name"": ""Hartsfield-Jackson Atlanta International Airport"", ""duration"": 326}], ""extensions"": [""Checked baggage for a fee""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/F9.png"", ""booking_token"": ""WyJDalJJT0ZOdFl6ZHhha2xLVG5kQlVHOW5PVkZDUnkwdExTMHRMUzB0TFhaM2VXd3pOa0ZCUVVGQlIyOUxUa3hyUkhNNWJIRkJFZzFHT1RRM016RjhSamt6TmpreUdnc0k3cndDRUFJYUExVlRSRGdjY082OEFnPT0iLFtbIkpGSyIsIjIwMjYtMDUtMTgiLCJBVEwiLG51bGwsIkY5IiwiNDczMSJdLFsiQVRMIiwiMjAyNi0wNS0xOCIsIklBRCIsbnVsbCwiRjkiLCIzNjkyIl1dXQ=="", ""total_duration"": 609, ""carbon_emissions"": {""this_flight"": 157000, ""difference_percent"": 71, ""typical_for_this_route"": 92000}}",c652a249-9365-413c-9453-2756cd3d10f4,2026-05-17 21:35:54.826112
2,1,AA1444,AA,American,2026-05-18 07:58,2026-05-18 14:51,413,1,$329,7,green,"{""type"": ""One way"", ""price"": 329, ""flights"": [{""airline"": ""American"", ""legroom"": ""30 in"", ""airplane"": ""Airbus A319"", ""duration"": 137, ""extensions"": [""Average legroom (30 in)"", ""Free Wi-Fi"", ""In-seat power outlet"", ""Stream media to your device"", ""Carbon emissions estimate: 114 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""travel_class"": ""Economy"", ""flight_number"": ""AA 1444"", ""arrival_airport"": {""id"": ""CLT"", ""name"": ""Charlotte Douglas International Airport"", ""time"": ""2026-05-18 10:15""}, ""departure_airport"": {""id"": ""JFK"", ""name"": ""John F. Kennedy International Airport"", ""time"": ""2026-05-18 07:58""}}, {""airline"": ""American"", ""legroom"": ""31 in"", ""airplane"": ""Canadair RJ 900"", ""duration"": 93, ""extensions"": [""Average legroom (31 in)"", ""Wi-Fi for a fee"", ""In-seat power & USB outlets"", ""Stream media to your device"", ""Carbon emissions estimate: 93 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""travel_class"": ""Economy"", ""flight_number"": ""AA 5268"", ""arrival_airport"": {""id"": ""IAD"", ""name"": ""Dulles International Airport"", ""time"": ""2026-05-18 14:51""}, ""departure_airport"": {""id"": ""CLT"", ""name"": ""Charlotte Douglas International Airport"", ""time"": ""2026-05-18 13:18""}, ""plane_and_crew_by"": ""PSA Airlines as American Eagle""}], ""layovers"": [{""id"": ""CLT"", ""name"": ""Charlotte Douglas International Airport"", ""duration"": 183}], ""extensions"": [""Checked baggage for a fee""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""booking_token"": ""WyJDalJJT0ZOdFl6ZHhha2xLVG5kQlVHOW5PVkZDUnkwdExTMHRMUzB0TFhaM2VXd3pOa0ZCUVVGQlIyOUxUa3hyUkhNNWJIRkJFZzFCUVRFME5EUjhRVUUxTWpZNEdnc0l0SUFDRUFJYUExVlRSRGdjY0xTQUFnPT0iLFtbIkpGSyIsIjIwMjYtMDUtMTgiLCJDTFQiLG51bGwsIkFBIiwiMTQ0NCJdLFsiQ0xUIiwiMjAyNi0wNS0xOCIsIklBRCIsbnVsbCwiQUEiLCI1MjY4Il1dXQ=="", ""total_duration"": 413, ""carbon_emissions"": {""this_flight"": 208000, ""difference_percent"": 126, ""typical_for_this_route"": 92000}}",cb430dc5-e8a0-4960-802f-2eb8481e693f,2026-05-17 21:35:54.826112
3,1,AA4734,AA,American,2026-05-18 13:42,2026-05-18 21:01,439,2,$491,7,green,"{""type"": ""One way"", ""price"": 491, ""flights"": [{""airline"": ""American"", ""legroom"": ""30 in"", ""airplane"": ""Embraer 175"", ""duration"": 109, ""extensions"": [""Average legroom (30 in)"", ""Free Wi-Fi"", ""In-seat power & USB outlets"", ""Stream media to your device"", ""Carbon emissions estimate: 97 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""travel_class"": ""Economy"", ""flight_number"": ""AA 4734"", ""arrival_airport"": {""id"": ""PIT"", ""name"": ""Pittsburgh International Airport"", ""time"": ""2026-05-18 15:31""}, ""departure_airport"": {""id"": ""JFK"", ""name"": ""John F. Kennedy International Airport"", ""time"": ""2026-05-18 13:42""}, ""plane_and_crew_by"": ""Republic Airways as American Eagle""}, {""airline"": ""Southern Airways Express"", ""legroom"": ""32 in"", ""airplane"": ""Cessna (Light)"", ""duration"": 59, ""extensions"": [""Above average legroom (32 in)"", ""Carbon emissions estimate: 122 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/9X.png"", ""travel_class"": ""Economy"", ""flight_number"": ""9X 308"", ""arrival_airport"": {""id"": ""BFD"", ""name"": ""Bradford Regional Airport"", ""time"": ""2026-05-18 18:19""}, ""departure_airport"": {""id"": ""PIT"", ""name"": ""Pittsburgh International Airport"", ""time"": ""2026-05-18 17:20""}}, {""airline"": ""Southern Airways Express"", ""legroom"": ""32 in"", ""airplane"": ""Cessna (Light)"", ""duration"": 91, ""extensions"": [""Above average legroom (32 in)"", ""Carbon emissions estimate: 151 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/9X.png"", ""travel_class"": ""Economy"", ""flight_number"": ""9X 394"", ""arrival_airport"": {""id"": ""IAD"", ""name"": ""Dulles International Airport"", ""time"": ""2026-05-18 21:01""}, ""departure_airport"": {""id"": ""BFD"", ""name"": ""Bradford Regional Airport"", ""time"": ""2026-05-18 19:30""}}], ""layovers"": [{""id"": ""PIT"", ""name"": ""Pittsburgh International Airport"", ""duration"": 109}, {""id"": ""BFD"", ""name"": ""Bradford Regional Airport"", ""duration"": 71}], ""extensions"": [""Checked baggage for a fee""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/multi.png"", ""booking_token"": ""WyJDalJJT0ZOdFl6ZHhha2xLVG5kQlVHOW5PVkZDUnkwdExTMHRMUzB0TFhaM2VXd3pOa0ZCUVVGQlIyOUxUa3hyUkhNNWJIRkJFaEpCUVRRM016UjhPVmd6TURoOE9WZ3pPVFFhQ3dqNy9nSVFBaG9EVlZORU9CeHcrLzRDIixbWyJKRksiLCIyMDI2LTA1LTE4IiwiUElUIixudWxsLCJBQSIsIjQ3MzQiXSxbIlBJVCIsIjIwMjYtMDUtMTgiLCJCRkQiLG51bGwsIjlYIiwiMzA4Il0sWyJCRkQiLCIyMDI2LTA1LTE4IiwiSUFEIixudWxsLCI5WCIsIjM5NCJdXV0="", ""total_duration"": 439, ""carbon_emissions"": {""this_flight"": 371000, ""difference_percent"": 303, ""typical_for_this_route"": 92000}}",7ea79cf5-7d37-4d18-abb5-07caa309c3bc,2026-05-17 21:35:54.826112
4,3,AA4632,AA,American,2026-05-18 17:29,2026-05-19 11:21,1072,2,$496,14,green,"{""type"": ""One way"", ""price"": 496, ""flights"": [{""airline"": ""American"", ""legroom"": ""30 in"", ""airplane"": ""Embraer 175"", ""duration"": 115, ""extensions"": [""Average legroom (30 in)"", ""Free Wi-Fi"", ""In-seat power & USB outlets"", ""Stream media to your device"", ""Carbon emissions estimate: 97 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""travel_class"": ""Economy"", ""flight_number"": ""AA 4632"", ""arrival_airport"": {""id"": ""PIT"", ""name"": ""Pittsburgh International Airport"", ""time"": ""2026-05-18 19:24""}, ""departure_airport"": {""id"": ""JFK"", ""name"": ""John F. Kennedy International Airport"", ""time"": ""2026-05-18 17:29""}, ""plane_and_crew_by"": ""Republic Airways as American Eagle""}, {""airline"": ""Southern Airways Express"", ""legroom"": ""32 in"", ""airplane"": ""Cessna (Light)"", ""duration"": 59, ""extensions"": [""Above average legroom (32 in)"", ""Carbon emissions estimate: 122 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/9X.png"", ""travel_class"": ""Economy"", ""flight_number"": ""9X 304"", ""arrival_airport"": {""id"": ""BFD"", ""name"": ""Bradford Regional Airport"", ""time"": ""2026-05-19 09:14""}, ""departure_airport"": {""id"": ""PIT"", ""name"": ""Pittsburgh International Airport"", ""time"": ""2026-05-19 08:15""}}, {""airline"": ""Southern Airways Express"", ""legroom"": ""32 in"", ""airplane"": ""Cessna (Light)"", ""duration"": 91, ""extensions"": [""Above average legroom (32 in)"", ""Carbon emissions estimate: 151 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/9X.png"", ""travel_class"": ""Economy"", ""flight_number"": ""9X 392"", ""arrival_airport"": {""id"": ""IAD"", ""name"": ""Dulles International Airport"", ""time"": ""2026-05-19 11:21""}, ""departure_airport"": {""id"": ""BFD"", ""name"": ""Bradford Regional Airport"", ""time"": ""2026-05-19 09:50""}}], ""layovers"": [{""id"": ""PIT"", ""name"": ""Pittsburgh International Airport"", ""duration"": 771, ""overnight"": true}, {""id"": ""BFD"", ""name"": ""Bradford Regional Airport"", ""duration"": 36}], ""extensions"": [""Checked baggage for a fee""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/multi.png"", ""booking_token"": ""WyJDalJJUVhwNGVFaGxURlYxWmtWQlFXUnRlSGRDUnkwdExTMHRMUzB0TFMxd1puVjROVUZCUVVGQlIyOU1abmR6VGpnMVkyMUJFaEpCUVRRMk16SjhPVmd6TURSOE9WZ3pPVElhQ3dpcmd3TVFBaG9EVlZORU9CeHdxNE1EIixbWyJKRksiLCIyMDI2LTA1LTE4IiwiUElUIixudWxsLCJBQSIsIjQ2MzIiXSxbIlBJVCIsIjIwMjYtMDUtMTkiLCJCRkQiLG51bGwsIjlYIiwiMzA0Il0sWyJCRkQiLCIyMDI2LTA1LTE5IiwiSUFEIixudWxsLCI5WCIsIjM5MiJdXV0="", ""total_duration"": 1072, ""carbon_emissions"": {""this_flight"": 371000, ""difference_percent"": 303, ""typical_for_this_route"": 92000}}",09116fe5-be9b-446f-9f94-407e74a860b3,2026-05-18 21:05:16.890144
5,3,AA3167,AA,American,2026-05-18 19:29,2026-05-18 23:59,270,1,$415,16,green,"{""type"": ""One way"", ""price"": 415, ""flights"": [{""airline"": ""American"", ""legroom"": ""30 in"", ""airplane"": ""Airbus A319"", ""duration"": 143, ""extensions"": [""Average legroom (30 in)"", ""Free Wi-Fi"", ""In-seat power outlet"", ""Stream media to your device"", ""Carbon emissions estimate: 114 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""travel_class"": ""Economy"", ""flight_number"": ""AA 3167"", ""arrival_airport"": {""id"": ""CLT"", ""name"": ""Charlotte Douglas International Airport"", ""time"": ""2026-05-18 21:52""}, ""departure_airport"": {""id"": ""JFK"", ""name"": ""John F. Kennedy International Airport"", ""time"": ""2026-05-18 19:29""}}, {""airline"": ""American"", ""legroom"": ""30 in"", ""airplane"": ""Airbus A319"", ""duration"": 81, ""extensions"": [""Average legroom (30 in)"", ""Free Wi-Fi"", ""In-seat power outlet"", ""Stream media to your device"", ""Carbon emissions estimate: 82 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""travel_class"": ""Economy"", ""flight_number"": ""AA 2253"", ""arrival_airport"": {""id"": ""IAD"", ""name"": ""Dulles International Airport"", ""time"": ""2026-05-18 23:59""}, ""departure_airport"": {""id"": ""CLT"", ""name"": ""Charlotte Douglas International Airport"", ""time"": ""2026-05-18 22:38""}}], ""layovers"": [{""id"": ""CLT"", ""name"": ""Charlotte Douglas International Airport"", ""duration"": 46}], ""extensions"": [""Checked baggage for a fee""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""booking_token"": ""WyJDalJJUVhwNGVFaGxURlYxWmtWQlFXUnRlSGRDUnkwdExTMHRMUzB0TFMxd1puVjROVUZCUVVGQlIyOU1abmR6VGpnMVkyMUJFZzFCUVRNeE5qZDhRVUV5TWpVekdnc0l6TU1DRUFJYUExVlRSRGdjY016REFnPT0iLFtbIkpGSyIsIjIwMjYtMDUtMTgiLCJDTFQiLG51bGwsIkFBIiwiMzE2NyJdLFsiQ0xUIiwiMjAyNi0wNS0xOCIsIklBRCIsbnVsbCwiQUEiLCIyMjUzIl1dXQ=="", ""total_duration"": 270, ""carbon_emissions"": {""this_flight"": 197000, ""difference_percent"": 114, ""typical_for_this_route"": 92000}}",4fe58d6b-a818-42c5-bf7c-8cf7aa749274,2026-05-18 21:05:16.890144
6,3,AA4659,AA,American,2026-05-18 22:25,2026-05-19 15:23,1018,2,$603,18,green,"{""type"": ""One way"", ""price"": 603, ""flights"": [{""airline"": ""American"", ""legroom"": ""30 in"", ""airplane"": ""Embraer 175"", ""duration"": 87, ""extensions"": [""Average legroom (30 in)"", ""Free Wi-Fi"", ""In-seat power & USB outlets"", ""Stream media to your device"", ""Carbon emissions estimate: 79 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""travel_class"": ""Economy"", ""flight_number"": ""AA 4659"", ""arrival_airport"": {""id"": ""BOS"", ""name"": ""Boston Logan International Airport"", ""time"": ""2026-05-18 23:52""}, ""departure_airport"": {""id"": ""JFK"", ""name"": ""John F. Kennedy International Airport"", ""time"": ""2026-05-18 22:25""}, ""plane_and_crew_by"": ""Republic Airways as American Eagle""}, {""airline"": ""American"", ""legroom"": ""30 in"", ""airplane"": ""Airbus A321"", ""duration"": 149, ""extensions"": [""Average legroom (30 in)"", ""Free Wi-Fi"", ""In-seat power & USB outlets"", ""Stream media to your device"", ""Carbon emissions estimate: 123 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""travel_class"": ""Economy"", ""flight_number"": ""AA 2263"", ""arrival_airport"": {""id"": ""CLT"", ""name"": ""Charlotte Douglas International Airport"", ""time"": ""2026-05-19 11:34""}, ""departure_airport"": {""id"": ""BOS"", ""name"": ""Boston Logan International Airport"", ""time"": ""2026-05-19 09:05""}}, {""airline"": ""American"", ""legroom"": ""31 in"", ""airplane"": ""Canadair RJ 900"", ""duration"": 93, ""extensions"": [""Average legroom (31 in)"", ""Wi-Fi for a fee"", ""In-seat power & USB outlets"", ""Stream media to your device"", ""Carbon emissions estimate: 93 kg""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""travel_class"": ""Economy"", ""flight_number"": ""AA 5268"", ""arrival_airport"": {""id"": ""IAD"", ""name"": ""Dulles International Airport"", ""time"": ""2026-05-19 15:23""}, ""departure_airport"": {""id"": ""CLT"", ""name"": ""Charlotte Douglas International Airport"", ""time"": ""2026-05-19 13:50""}, ""plane_and_crew_by"": ""PSA Airlines as American Eagle""}], ""layovers"": [{""id"": ""BOS"", ""name"": ""Boston Logan International Airport"", ""duration"": 553, ""overnight"": true}, {""id"": ""CLT"", ""name"": ""Charlotte Douglas International Airport"", ""duration"": 136}], ""extensions"": [""Checked baggage for a fee""], ""airline_logo"": ""https://www.gstatic.com/flights/airline_logos/70px/AA.png"", ""booking_token"": ""WyJDalJJUVhwNGVFaGxURlYxWmtWQlFXUnRlSGRDUnkwdExTMHRMUzB0TFMxd1puVjROVUZCUVVGQlIyOU1abmR6VGpnMVkyMUJFaFJCUVRRMk5UbDhRVUV5TWpZemZFRkJOVEkyT0JvTENMUFdBeEFDR2dOVlUwUTRISEN6MWdNPSIsW1siSkZLIiwiMjAyNi0wNS0xOCIsIkJPUyIsbnVsbCwiQUEiLCI0NjU5Il0sWyJCT1MiLCIyMDI2LTA1LTE5IiwiQ0xUIixudWxsLCJBQSIsIjIyNjMiXSxbIkNMVCIsIjIwMjYtMDUtMTkiLCJJQUQiLG51bGwsIkFBIiwiNTI2OCJdXV0="", ""total_duration"": 1018, ""carbon_emissions"": {""this_flight"": 297000, ""difference_percent"": 223, ""typical_for_this_route"": 92000}}",e393531c-83ed-4c7d-b865-1428625e849b,2026-05-18 21:05:16.890144
