id,proposal_id,type,description,price_estimate,duffel_offer_id,duffel_offer_data
41,30,flight,Alternative FIRST Flight: New York to Miami (American Airlines),564.74,off_0000B3w7FevgRtW113gHS0,"{""id"": ""off_0000B3w7FevgRtW113gHS0"", ""owner"": {""id"": ""arl_00009VME7DAGiJjwomhv32"", ""name"": ""American Airlines"", ""iata_code"": ""AA"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/AA.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg"", ""conditions_of_carriage_url"": ""https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp""}, ""slices"": [{""id"": ""sli_0000B3w7FevgRtW113gHRy"", ""origin"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""duration"": ""PT3H24M"", ""segments"": [{""id"": ""seg_0000B3w7FevgRtW113gHRx"", ""origin"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Airbus A321"", ""baggages"": [{""type"": ""checked"", ""quantity"": 2}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-04-07T19:23:00"", ""cabinClass"": ""FIRST"", ""departingAt"": ""2026-04-07T15:59:00"", ""destination"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""flightNumber"": ""2603""}], ""destination"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}}], ""expiresAt"": ""2026-03-05T05:13:51.000000Z"", ""passengers"": [{""id"": ""pas_0000B3w7FXVC3zANysEWgc"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""564.74"", ""totalCurrency"": ""USD""}"
40,30,flight,Economy Flight: JFK to MIA,45.98,off_0000B3wD5JQn2HBn9jY9xq,"{""id"": ""off_0000B3wD5JQn2HBn9jY9xq"", ""owner"": {""id"": ""arl_00009VME7DC2bj9quHXKpE"", ""name"": ""Frontier Airlines"", ""iata_code"": ""F9"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/F9.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg"", ""conditions_of_carriage_url"": ""https://www.flyfrontier.com/legal/contract-of-carriage""}, ""slices"": [{""id"": ""sli_0000B3wD5JQn2HBn9jY9xo"", ""origin"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""duration"": ""PT3H17M"", ""segments"": [{""id"": ""seg_0000B3wD5JQR3auD8dNsPY"", ""origin"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""carrier"": {""iata"": ""F9"", ""name"": ""Frontier Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg""}, ""aircraft"": ""Airbus A321neo"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}], ""arrivingAt"": ""2026-04-07T14:47:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-04-07T11:30:00"", ""destination"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""flightNumber"": ""1809""}], ""destination"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}}], ""expiresAt"": ""2026-03-05T06:49:14.198739Z"", ""passengers"": [{""id"": ""pas_0000B3wD5GmesVtowgl58M"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""45.98"", ""searchParams"": {""origin"": ""JFK"", ""cabinClass"": ""economy"", ""passengers"": 1, ""returnDate"": null, ""destination"": ""MIA"", ""departureDate"": ""2026-04-07""}, ""totalCurrency"": ""USD"", ""passengerIdentityDocumentsRequired"": false}"
44,32,flight,Economy Flight: Newark to Miami,184.99,off_0000B41jNKcxzKyUG7J2F2,"{""id"": ""off_0000B41jNKcxzKyUG7J2F2"", ""owner"": {""id"": ""arl_00009VME7DC2bj9quHXKpE"", ""name"": ""Frontier Airlines"", ""iata_code"": ""F9"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/F9.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg"", ""conditions_of_carriage_url"": ""https://www.flyfrontier.com/legal/contract-of-carriage""}, ""slices"": [{""id"": ""sli_0000B41jNKcxzKyUG7J2F0"", ""origin"": {""city"": ""Newark"", ""iata"": ""EWR"", ""name"": ""Newark Liberty International Airport""}, ""duration"": ""PT6H56M"", ""segments"": [{""id"": ""seg_0000B41jNKcxzKyUG7J2Ey"", ""origin"": {""iata"": ""EWR"", ""name"": ""Newark Liberty International Airport""}, ""carrier"": {""iata"": ""F9"", ""name"": ""Frontier Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg""}, ""aircraft"": ""Airbus A320neo"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}], ""arrivingAt"": ""2026-03-11T09:10:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-03-11T06:10:00"", ""destination"": {""iata"": ""ATL"", ""name"": ""Hartsfield-Jackson Atlanta International Airport""}, ""flightNumber"": ""4601""}, {""id"": ""seg_0000B41jNKcxzKyUG7J2Ez"", ""origin"": {""iata"": ""ATL"", ""name"": ""Hartsfield-Jackson Atlanta International Airport""}, ""carrier"": {""iata"": ""F9"", ""name"": ""Frontier Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg""}, ""aircraft"": ""Airbus A321neo"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}], ""arrivingAt"": ""2026-03-11T13:06:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-03-11T10:59:00"", ""destination"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""flightNumber"": ""2272""}], ""destination"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}}], ""expiresAt"": ""2026-03-07T22:44:36.623646Z"", ""passengers"": [{""id"": ""pas_0000B41jNHW7YKiSc151ec"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""184.99"", ""totalCurrency"": ""USD""}"
42,31,flight,Economy Flight: STL to NYC,155.53,off_0000B4Dirx2E5UrE3fcE7W,"{""id"": ""off_0000B4Dirx2E5UrE3fcE7W"", ""owner"": {""id"": ""arl_00009VME7DAGiJjwomhv32"", ""name"": ""American Airlines"", ""iata_code"": ""AA"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/AA.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg"", ""conditions_of_carriage_url"": ""https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp""}, ""slices"": [{""id"": ""sli_0000B4Dirx2E5UrE3fcE7U"", ""origin"": {""city"": ""St. Louis"", ""iata"": ""STL"", ""name"": ""St. Louis Lambert International Airport""}, ""duration"": ""PT2H28M"", ""segments"": [{""id"": ""seg_0000B4Dirx2E5UrE3fcE7T"", ""origin"": {""iata"": ""STL"", ""name"": ""St. Louis Lambert International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Embraer 170"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-04-06T10:33:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-04-06T07:05:00"", ""destination"": {""iata"": ""LGA"", ""name"": ""LaGuardia Airport""}, ""flightNumber"": ""4486""}], ""destination"": {""city"": ""New York"", ""iata"": ""LGA"", ""name"": ""LaGuardia Airport""}}], ""expiresAt"": ""2026-03-13T17:05:27.000000Z"", ""passengers"": [{""id"": ""pas_0000B4DirpAnJkxRfvYxMY"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""155.53"", ""searchParams"": {""origin"": ""STL"", ""cabinClass"": ""economy"", ""passengers"": 1, ""returnDate"": null, ""destination"": ""NYC"", ""departureDate"": ""2026-04-06""}, ""totalCurrency"": ""USD"", ""passengerIdentityDocumentsRequired"": false}"
50,37,other,Travel planning - details pending from concierge call,0.00,,
51,38,flight,"Economy Flight: New York to Raleigh/Durham, Raleigh/Durham to New York",423.08,off_0000B4GYGCzSyKK5Wyq1mb,"{""id"": ""off_0000B4GYGCzSyKK5Wyq1mb"", ""owner"": {""id"": ""arl_00009VME7DAGiJjwomhv32"", ""name"": ""American Airlines"", ""iata_code"": ""AA"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/AA.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg"", ""conditions_of_carriage_url"": ""https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp""}, ""slices"": [{""id"": ""sli_0000B4GYGCzSyKK5Wyq1mV"", ""origin"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""duration"": ""PT8H48M"", ""segments"": [{""id"": ""seg_0000B4GYGCzSyKK5Wyq1mT"", ""origin"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Embraer 175"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-05-22T07:59:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-05-22T06:30:00"", ""destination"": {""iata"": ""DCA"", ""name"": ""Ronald Reagan Washington National Airport""}, ""flightNumber"": ""4538""}, {""id"": ""seg_0000B4GYGCzSyKK5Wyq1mU"", ""origin"": {""iata"": ""DCA"", ""name"": ""Ronald Reagan Washington National Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Canadair (Bombardier) Regional Jet 700 and Challenger 870"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-05-22T15:18:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-05-22T13:54:00"", ""destination"": {""iata"": ""RDU"", ""name"": ""Raleigh–Durham International Airpor""}, ""flightNumber"": ""5367""}], ""destination"": {""city"": ""Raleigh/Durham"", ""iata"": ""RDU"", ""name"": ""Raleigh–Durham International Airpor""}}, {""id"": ""sli_0000B4GYGCzSyKK5Wyq1mZ"", ""origin"": {""city"": ""Raleigh/Durham"", ""iata"": ""RDU"", ""name"": ""Raleigh–Durham International Airpor""}, ""duration"": ""PT7H29M"", ""segments"": [{""id"": ""seg_0000B4GYGCzSyKK5Wyq1mX"", ""origin"": {""iata"": ""RDU"", ""name"": ""Raleigh–Durham International Airpor""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Boeing 737-800"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-06-15T19:45:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-06-15T17:30:00"", ""destination"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""flightNumber"": ""2406""}, {""id"": ""seg_0000B4GYGCzSyKK5Wyq1mY"", ""origin"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Boeing 737 MAX 8 / BBJ MAX 8/MAX200"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-06-16T00:59:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-06-15T21:52:00"", ""destination"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""flightNumber"": ""0944""}], ""destination"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}}], ""expiresAt"": ""2026-03-15T01:50:40.000000Z"", ""passengers"": [{""id"": ""pas_0000B4GYFrYSfXFB392fGc"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""423.08"", ""totalCurrency"": ""USD""}"
52,38,flight,"Alternative ECONOMY Flight: New York to Raleigh/Durham, Raleigh/Durham to New York (American Airlines)",423.08,off_0000B4GYGCzSyKK5Wyq1mF,"{""id"": ""off_0000B4GYGCzSyKK5Wyq1mF"", ""owner"": {""id"": ""arl_00009VME7DAGiJjwomhv32"", ""name"": ""American Airlines"", ""iata_code"": ""AA"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/AA.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg"", ""conditions_of_carriage_url"": ""https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp""}, ""slices"": [{""id"": ""sli_0000B4GYGCzSyKK5Wyq1m9"", ""origin"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""duration"": ""PT10H3M"", ""segments"": [{""id"": ""seg_0000B4GYGCzSyKK5Wyq1m7"", ""origin"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Embraer 175"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-05-22T11:00:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-05-22T09:23:00"", ""destination"": {""iata"": ""DCA"", ""name"": ""Ronald Reagan Washington National Airport""}, ""flightNumber"": ""4671""}, {""id"": ""seg_0000B4GYGCzSyKK5Wyq1m8"", ""origin"": {""iata"": ""DCA"", ""name"": ""Ronald Reagan Washington National Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Embraer 175"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-05-22T19:26:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-05-22T18:00:00"", ""destination"": {""iata"": ""RDU"", ""name"": ""Raleigh–Durham International Airpor""}, ""flightNumber"": ""4029""}], ""destination"": {""city"": ""Raleigh/Durham"", ""iata"": ""RDU"", ""name"": ""Raleigh–Durham International Airpor""}}, {""id"": ""sli_0000B4GYGCzSyKK5Wyq1mD"", ""origin"": {""city"": ""Raleigh/Durham"", ""iata"": ""RDU"", ""name"": ""Raleigh–Durham International Airpor""}, ""duration"": ""PT7H29M"", ""segments"": [{""id"": ""seg_0000B4GYGCzSyKK5Wyq1mB"", ""origin"": {""iata"": ""RDU"", ""name"": ""Raleigh–Durham International Airpor""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Boeing 737-800"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-06-15T19:45:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-06-15T17:30:00"", ""destination"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""flightNumber"": ""2406""}, {""id"": ""seg_0000B4GYGCzSyKK5Wyq1mC"", ""origin"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Boeing 737 MAX 8 / BBJ MAX 8/MAX200"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-06-16T00:59:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-06-15T21:52:00"", ""destination"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""flightNumber"": ""0944""}], ""destination"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}}], ""expiresAt"": ""2026-03-15T01:50:40.000000Z"", ""passengers"": [{""id"": ""pas_0000B4GYFrYSfXFB392fGc"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""423.08"", ""totalCurrency"": ""USD""}"
43,31,flight,Economy Flight: STL to NYC,156.61,off_0000B4JVPgC90Q0pNV3jN6,"{""id"": ""off_0000B4JVPgC90Q0pNV3jN6"", ""owner"": {""id"": ""arl_00009VME7DAGiJjwomhv32"", ""name"": ""American Airlines"", ""iata_code"": ""AA"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/AA.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg"", ""conditions_of_carriage_url"": ""https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp""}, ""slices"": [{""id"": ""sli_0000B4JVPgC90Q0pNV3jN4"", ""origin"": {""city"": ""St. Louis"", ""iata"": ""STL"", ""name"": ""St. Louis Lambert International Airport""}, ""duration"": ""PT2H28M"", ""segments"": [{""id"": ""seg_0000B4JVPgC90Q0pNV3jN3"", ""origin"": {""iata"": ""STL"", ""name"": ""St. Louis Lambert International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Embraer 170"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-04-06T10:33:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-04-06T07:05:00"", ""destination"": {""iata"": ""LGA"", ""name"": ""LaGuardia Airport""}, ""flightNumber"": ""4486""}], ""destination"": {""city"": ""New York"", ""iata"": ""LGA"", ""name"": ""LaGuardia Airport""}}], ""expiresAt"": ""2026-03-16T12:02:56.000000Z"", ""passengers"": [{""id"": ""pas_0000B4JVPYBqld1WYGrNnm"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""156.61"", ""searchParams"": {""origin"": ""STL"", ""cabinClass"": ""economy"", ""passengers"": 1, ""returnDate"": null, ""destination"": ""NYC"", ""departureDate"": ""2026-04-06""}, ""totalCurrency"": ""USD"", ""passengerIdentityDocumentsRequired"": false}"
53,39,other,Travel planning - details pending from concierge call,0.00,,
54,40,flight,Economy Flight: Chicago to Denver,32.99,off_0000B5XPY5OBjOxrHRWAMt,"{""id"": ""off_0000B5XPY5OBjOxrHRWAMt"", ""owner"": {""id"": ""arl_00009VME7DC2bj9quHXKpE"", ""name"": ""Frontier Airlines"", ""iata_code"": ""F9"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/F9.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg"", ""conditions_of_carriage_url"": ""https://www.flyfrontier.com/legal/contract-of-carriage""}, ""slices"": [{""id"": ""sli_0000B5XPY5OBjOxrHRWAMr"", ""origin"": {""city"": ""Chicago"", ""iata"": ""ORD"", ""name"": ""O'Hare International Airport""}, ""duration"": ""PT3H7M"", ""segments"": [{""id"": ""seg_0000B5XPY5OBjOxrHRWAMq"", ""origin"": {""iata"": ""ORD"", ""name"": ""O'Hare International Airport""}, ""carrier"": {""iata"": ""F9"", ""name"": ""Frontier Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg""}, ""aircraft"": ""Airbus A321"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}], ""arrivingAt"": ""2026-05-27T23:44:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-05-27T21:37:00"", ""destination"": {""iata"": ""DEN"", ""name"": ""Denver International Airport""}, ""flightNumber"": ""1483""}], ""destination"": {""city"": ""Denver"", ""iata"": ""DEN"", ""name"": ""Denver International Airport""}}], ""expiresAt"": ""2026-04-22T03:25:19.000198Z"", ""passengers"": [{""id"": ""pas_0000B5XPXz6x4ZbzoFPJfb"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""32.99"", ""totalCurrency"": ""USD""}"
55,40,flight,Alternative ECONOMY Flight: Chicago to Denver (American Airlines),79.27,off_0000B5XPY6PdvTiqSFCqHW,"{""id"": ""off_0000B5XPY6PdvTiqSFCqHW"", ""owner"": {""id"": ""arl_00009VME7DAGiJjwomhv32"", ""name"": ""American Airlines"", ""iata_code"": ""AA"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/AA.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg"", ""conditions_of_carriage_url"": ""https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp""}, ""slices"": [{""id"": ""sli_0000B5XPY6PdvTiqSFCqHS"", ""origin"": {""city"": ""Chicago"", ""iata"": ""ORD"", ""name"": ""O'Hare International Airport""}, ""duration"": ""PT2H39M"", ""segments"": [{""id"": ""seg_0000B5XPY6PdvTiqSFCqHQ"", ""origin"": {""iata"": ""ORD"", ""name"": ""O'Hare International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Airbus A319"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-05-27T08:24:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-05-27T06:45:00"", ""destination"": {""iata"": ""DEN"", ""name"": ""Denver International Airport""}, ""flightNumber"": ""1747""}], ""destination"": {""city"": ""Denver"", ""iata"": ""DEN"", ""name"": ""Denver International Airport""}}], ""expiresAt"": ""2026-04-22T02:55:18.000000Z"", ""passengers"": [{""id"": ""pas_0000B5XPXz6x4ZbzoFPJfb"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""79.27"", ""totalCurrency"": ""USD""}"
56,43,flight,Economy Flight: Newark to New York,331.21,off_0000B5YsA8hjELelDxuORk,"{""id"": ""off_0000B5YsA8hjELelDxuORk"", ""owner"": {""id"": ""arl_00009VME7DAch01WpssCcN"", ""name"": ""Alaska Airlines"", ""iata_code"": ""AS"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/AS.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AS.svg"", ""conditions_of_carriage_url"": ""https://www.alaskaair.com/content/legal/contract-of-carriage/rule-1""}, ""slices"": [{""id"": ""sli_0000B5YsA8hjELelDxuORf"", ""origin"": {""city"": ""Newark"", ""iata"": ""EWR"", ""name"": ""Newark Liberty International Airport""}, ""duration"": ""PT13H32M"", ""segments"": [{""id"": ""seg_0000B5YsA8hjELelDxuORb"", ""origin"": {""iata"": ""EWR"", ""name"": ""Newark Liberty International Airport""}, ""carrier"": {""iata"": ""AS"", ""name"": ""Alaska Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AS.svg""}, ""aircraft"": ""Boeing 737 MAX 9 / BBJ MAX 9"", ""baggages"": [{""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-05-06T19:40:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-05-06T16:31:00"", ""destination"": {""iata"": ""SAN"", ""name"": ""San Diego International Airport""}, ""flightNumber"": ""0573""}, {""id"": ""seg_0000B5YsA8hjELelDxuORc"", ""origin"": {""iata"": ""SAN"", ""name"": ""San Diego International Airport""}, ""carrier"": {""iata"": ""AS"", ""name"": ""Alaska Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AS.svg""}, ""aircraft"": ""Boeing 737-800 (winglets)/BBJ2"", ""baggages"": [{""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-05-07T06:03:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-05-06T21:25:00"", ""destination"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""flightNumber"": ""0036""}], ""destination"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}}], ""expiresAt"": ""2026-04-22T20:20:38.751068Z"", ""enrichment"": {""owner"": {""iata"": ""AS"", ""name"": ""Alaska Airlines""}, ""baggage"": [{""type"": ""carry_on"", ""quantity"": 1, ""weightUnit"": null, ""weightValue"": null}], ""fareBrand"": ""QH4OXVBN"", ""cabinClass"": ""Economy"", ""conditions"": {""refundable"": null, ""changeBeforeDeparture"": {""allowed"": null, ""description"": ""Changes before departure: subject to airline policy"", ""penaltyAmount"": null, ""penaltyCurrency"": null}, ""refundBeforeDeparture"": {""allowed"": null, ""description"": ""Refunds before departure: subject to airline policy"", ""penaltyAmount"": null, ""penaltyCurrency"": null}}, ""seatSelection"": {""available"": null, ""feeAmount"": null, ""description"": ""Seat selection details available at check-in"", ""feeCurrency"": null}, ""baggageSummary"": ""1× carry on"", ""fareConditionsText"": [""Changes before departure: subject to airline policy"", ""Refunds before departure: subject to airline policy"", ""Seat selection details available at check-in"", ""Baggage: 1× carry on""], ""paymentRequirements"": {""paymentRequiredBy"": ""2026-04-23T03:59:00Z"", ""requiresInstantPayment"": false}}, ""passengers"": [{""id"": ""pas_0000B5YsA4X614WxFi54Us"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""331.21"", ""totalCurrency"": ""USD""}"
