id,monitored_flight_id,score,tier,signals,scored_at,tail_number,equipment_type
11,2,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Unknown"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 5, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-18 16:07:41.137896,,
12,2,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Unknown"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 5, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-18 16:37:40.274793,,
13,2,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Unknown"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 5, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-18 16:40:32.054949,,
14,2,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Unknown"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 5, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-18 16:40:45.554626,,
15,2,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Unknown"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 5, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-18 16:40:48.884924,,
16,2,12,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 3, ""historicalRisk"": 5, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Unknown"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 25000, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 8, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-18 16:54:00.307766,,
17,2,12,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 3, ""historicalRisk"": 5, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Unknown"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 25000, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 8, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-18 17:05:33.375153,,
18,2,12,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 3, ""historicalRisk"": 5, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Unknown"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 25000, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 8, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-18 17:35:21.676654,,
19,2,22,green,"{""horizon"": ""short"", ""signals"": {""horizon"": ""short"", ""atcGroundStop"": 0, ""carrierHealth"": 10, ""historicalOtp"": 2, ""originWeather"": 2, ""timeOfDayRisk"": 4, ""atcGroundDelay"": 0, ""connectionRisk"": 3, ""historicalRisk"": 2, ""destinationWeather"": 1, ""hoursUntilDeparture"": 3.5708225, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""nasOrigin"": {""programs"": [], ""hasGroundStop"": false, ""hasGroundDelay"": false, ""avgDelayMinutes"": 0}, ""flightStatus"": {""status"": ""Unknown"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""carrierHealth"": {""reliable"": true, ""sampleSize"": 18, ""avgDelay24h"": 90, ""healthScore"": 10, ""cancellationRate24h"": 0}, ""originWeather"": {""ceilingFt"": 25000, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 8, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""nasDestination"": {""programs"": [], ""hasGroundStop"": false, ""hasGroundDelay"": false, ""avgDelayMinutes"": 0}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}, ""hoursUntilDeparture"": 3.5708225}",2026-05-18 17:36:58.050799,,
20,2,22,green,"{""horizon"": ""short"", ""signals"": {""horizon"": ""short"", ""atcGroundStop"": 0, ""carrierHealth"": 10, ""historicalOtp"": 2, ""originWeather"": 2, ""timeOfDayRisk"": 4, ""atcGroundDelay"": 0, ""connectionRisk"": 3, ""historicalRisk"": 2, ""destinationWeather"": 1, ""hoursUntilDeparture"": 3.57148, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""nasOrigin"": {""programs"": [], ""hasGroundStop"": false, ""hasGroundDelay"": false, ""avgDelayMinutes"": 0}, ""flightStatus"": null, ""carrierHealth"": {""reliable"": true, ""sampleSize"": 18, ""avgDelay24h"": 90, ""healthScore"": 10, ""cancellationRate24h"": 0}, ""originWeather"": {""ceilingFt"": 25000, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 8, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""nasDestination"": {""programs"": [], ""hasGroundStop"": false, ""hasGroundDelay"": false, ""avgDelayMinutes"": 0}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}, ""hoursUntilDeparture"": 3.57148}",2026-05-18 17:36:59.382955,,
